Boroughs,Base,Scenario,Ratio (rounded)
Barking and Dagenham,16.41,40.65,2.48
Barnet,0.77,2.05,2.66
Bexley,0.14,0.51,3.59
Brent,2.12,6.21,2.93
Bromley,0.57,1.46,2.57
Camden,1.06,2.63,2.49
Croydon,0.97,2.52,2.6
Ealing,0.94,2.47,2.63
Enfield,2.7,7.83,2.91
Greenwich,2.23,6.83,3.07
Hackney,12.06,25.81,2.14
Hammersmith and Fulham,0.83,2.32,2.79
Haringey,2.26,6.62,2.93
Harrow,0.72,1.84,2.56
Havering,0.77,2.01,2.6
Hillingdon,0.68,1.79,2.62
Hounslow,0.94,2.43,2.6
Islington,2.42,6.57,2.71
Kensington and Chelsea,0.91,2.35,2.6
Kingston upon Thames,0.52,1.35,2.6
Lambeth,1.34,3.93,2.94
Lewisham,1.46,4.33,2.96
Merton,0.66,1.73,2.63
Newham,11.91,31.9,2.68
Redbridge,0.77,2.02,2.63
Richmond upon Thames,0.55,1.4,2.56
Southwark,1.39,4.11,2.95
Sutton,0.53,1.37,2.61
Tower Hamlets,1.92,5.74,2.99
Waltham Forest,2.67,7.9,2.96
Wandsworth,0.47,1.26,2.7
Westminster,1,2.45,2.44